Expriment 2-1, iteration 200k, temperature decrease from 300000, cooling rate:0.95 
SA, temperature, 206000, Evaluation Function, 3610.2651864766704, time, 187
SA, temperature, 205000, Evaluation Function, 3588.8822217658085, time, 187
SA, temperature, 204000, Evaluation Function, 3618.403664599651, time, 172
SA, temperature, 203000, Evaluation Function, 3552.316066085706, time, 171
SA, temperature, 202000, Evaluation Function, 3546.1416280428657, time, 171
SA, temperature, 201000, Evaluation Function, 3479.9720899210192, time, 188
SA, temperature, 200000, Evaluation Function, 3471.417914331652, time, 187
SA, temperature, 199000, Evaluation Function, 3479.1122292388873, time, 171
SA, temperature, 198000, Evaluation Function, 3399.4802828701722, time, 171
SA, temperature, 197000, Evaluation Function, 3691.4553073643956, time, 171
SA, temperature, 196000, Evaluation Function, 3644.7882006408413, time, 172
SA, temperature, 195000, Evaluation Function, 3689.729144120328, time, 187
SA, temperature, 194000, Evaluation Function, 3465.989988640826, time, 172
SA, temperature, 193000, Evaluation Function, 3564.694450642627, time, 172
SA, temperature, 192000, Evaluation Function, 3611.839483293694, time, 188
SA, temperature, 191000, Evaluation Function, 3775.905900217707, time, 187
SA, temperature, 190000, Evaluation Function, 3564.763117394316, time, 171
SA, temperature, 189000, Evaluation Function, 3607.435255992529, time, 188
SA, temperature, 188000, Evaluation Function, 3600.916851598514, time, 172
SA, temperature, 187000, Evaluation Function, 3670.6829161559253, time, 187
SA, temperature, 186000, Evaluation Function, 3701.4594449577476, time, 250
SA, temperature, 185000, Evaluation Function, 3563.3650746672392, time, 187
SA, temperature, 184000, Evaluation Function, 3422.37095003898, time, 187
SA, temperature, 183000, Evaluation Function, 3671.82061757412, time, 187
SA, temperature, 182000, Evaluation Function, 3535.051605025015, time, 172
SA, temperature, 181000, Evaluation Function, 3633.531692729747, time, 187
SA, temperature, 180000, Evaluation Function, 3652.137303619341, time, 187
SA, temperature, 179000, Evaluation Function, 3576.326854478734, time, 187
SA, temperature, 178000, Evaluation Function, 3494.819183989174, time, 187
SA, temperature, 177000, Evaluation Function, 3725.4175828832335, time, 172
SA, temperature, 176000, Evaluation Function, 3586.6252409458166, time, 172
SA, temperature, 175000, Evaluation Function, 3551.6100441465483, time, 172
SA, temperature, 174000, Evaluation Function, 3609.8519544501496, time, 187
SA, temperature, 173000, Evaluation Function, 3691.52379928607, time, 187
SA, temperature, 172000, Evaluation Function, 3546.940962522189, time, 203
SA, temperature, 171000, Evaluation Function, 3540.3615285261503, time, 187
SA, temperature, 170000, Evaluation Function, 3714.371345274442, time, 187
SA, temperature, 169000, Evaluation Function, 3627.7965523216676, time, 172
SA, temperature, 168000, Evaluation Function, 3631.5580591045414, time, 187
SA, temperature, 167000, Evaluation Function, 3579.024435750562, time, 187
SA, temperature, 166000, Evaluation Function, 3454.609897266681, time, 188
SA, temperature, 165000, Evaluation Function, 3633.661344120624, time, 187
SA, temperature, 164000, Evaluation Function, 3538.9710313699966, time, 171
SA, temperature, 163000, Evaluation Function, 3630.403063031615, time, 188
SA, temperature, 162000, Evaluation Function, 3668.1518209303804, time, 172
SA, temperature, 161000, Evaluation Function, 3667.5057546615226, time, 172
SA, temperature, 160000, Evaluation Function, 3567.835082327398, time, 187
SA, temperature, 159000, Evaluation Function, 3654.54855898886, time, 156
SA, temperature, 158000, Evaluation Function, 3751.344383073879, time, 171
SA, temperature, 157000, Evaluation Function, 3698.81828898781, time, 187
SA, temperature, 156000, Evaluation Function, 3628.5170967152903, time, 171
SA, temperature, 155000, Evaluation Function, 3712.1371226316464, time, 171
SA, temperature, 154000, Evaluation Function, 3678.9573770559637, time, 172
SA, temperature, 153000, Evaluation Function, 3642.0265405142586, time, 172
SA, temperature, 152000, Evaluation Function, 3525.319531357017, time, 156
SA, temperature, 151000, Evaluation Function, 3455.091484308384, time, 156
SA, temperature, 150000, Evaluation Function, 3521.3625448918374, time, 156
SA, temperature, 149000, Evaluation Function, 3577.3858738518984, time, 172
SA, temperature, 148000, Evaluation Function, 3447.2147282654373, time, 171
SA, temperature, 147000, Evaluation Function, 3549.888955024793, time, 171
SA, temperature, 146000, Evaluation Function, 3662.885609983593, time, 156
SA, temperature, 145000, Evaluation Function, 3446.6916009008155, time, 156
SA, temperature, 144000, Evaluation Function, 3575.261749058397, time, 171
SA, temperature, 143000, Evaluation Function, 3433.3306302558267, time, 172
SA, temperature, 142000, Evaluation Function, 3633.7728348637966, time, 172
SA, temperature, 141000, Evaluation Function, 3573.440583066521, time, 156
SA, temperature, 140000, Evaluation Function, 3632.8160653200734, time, 156
SA, temperature, 139000, Evaluation Function, 3602.397514718828, time, 172
SA, temperature, 138000, Evaluation Function, 3399.960523712127, time, 172
SA, temperature, 137000, Evaluation Function, 3700.677886923947, time, 156
SA, temperature, 136000, Evaluation Function, 3604.31827675152, time, 172
SA, temperature, 135000, Evaluation Function, 3649.924669750079, time, 172
SA, temperature, 134000, Evaluation Function, 3429.021450219509, time, 156
SA, temperature, 133000, Evaluation Function, 3624.3503907107197, time, 171
SA, temperature, 132000, Evaluation Function, 3666.9233753692415, time, 187
SA, temperature, 131000, Evaluation Function, 3683.5074054143984, time, 171
SA, temperature, 130000, Evaluation Function, 3758.617205450797, time, 156
SA, temperature, 129000, Evaluation Function, 3488.887187573102, time, 187
SA, temperature, 128000, Evaluation Function, 3620.701843555977, time, 172
SA, temperature, 127000, Evaluation Function, 3503.100567163832, time, 171
SA, temperature, 126000, Evaluation Function, 3509.7646611416067, time, 156
SA, temperature, 125000, Evaluation Function, 3602.924483385466, time, 172
